platform,content,engagement,likes,comments,shares,sentiment,url,date
tiktok,"Suami Cikgu Mala ialah Cikgu Maarof. Sahabat saya semasa di Segamat. Dah lama kami terpisah. Ingat lagi semasa PRK Tenang dulu, timbul isu beliau mengiringi isterinya ke pusat penamaan calon. Akhirnya",439,439.0,0,0,negative,nan,2026-07-08 22:57:25.151102+00:00
tiktok,"Suami Cikgu Mala ialah Cikgu Maarof. Sahabat saya semasa di Segamat. Dah lama kami terpisah. Ingat lagi semasa PRK Tenang dulu, timbul isu beliau mengiringi isterinya ke pusat penamaan calon. Akhirnya",439,439.0,0,0,negative,nan,2026-07-08 22:57:25.469980+00:00
tiktok,"Suami Cikgu Mala ialah Cikgu Maarof. Sahabat saya semasa di Segamat. Dah lama kami terpisah. Ingat lagi semasa PRK Tenang dulu, timbul isu beliau mengiringi isterinya ke pusat penamaan calon. Akhirnya",439,439.0,0,0,negative,nan,2026-07-08 22:57:25.810810+00:00
tiktok,"Suami Cikgu Mala ialah Cikgu Maarof. Sahabat saya semasa di Segamat. Dah lama kami terpisah. Ingat lagi semasa PRK Tenang dulu, timbul isu beliau mengiringi isterinya ke pusat penamaan calon. Akhirnya",439,439.0,0,0,negative,nan,2026-07-08 22:57:26.136824+00:00
tiktok,"Suami Cikgu Mala ialah Cikgu Maarof. Sahabat saya semasa di Segamat. Dah lama kami terpisah. Ingat lagi semasa PRK Tenang dulu, timbul isu beliau mengiringi isterinya ke pusat penamaan calon. Akhirnya",439,439.0,0,0,negative,nan,2026-07-08 22:57:26.473704+00:00
tiktok,"Suami Cikgu Mala ialah Cikgu Maarof. Sahabat saya semasa di Segamat. Dah lama kami terpisah. Ingat lagi semasa PRK Tenang dulu, timbul isu beliau mengiringi isterinya ke pusat penamaan calon. Akhirnya",439,439.0,0,0,negative,nan,2026-07-08 22:57:26.811445+00:00
tiktok,"Suami Cikgu Mala ialah Cikgu Maarof. Sahabat saya semasa di Segamat. Dah lama kami terpisah. Ingat lagi semasa PRK Tenang dulu, timbul isu beliau mengiringi isterinya ke pusat penamaan calon. Akhirnya",439,439.0,0,0,negative,nan,2026-07-08 22:57:27.133601+00:00
tiktok,"Suami Cikgu Mala ialah Cikgu Maarof. Sahabat saya semasa di Segamat. Dah lama kami terpisah. Ingat lagi semasa PRK Tenang dulu, timbul isu beliau mengiringi isterinya ke pusat penamaan calon. Akhirnya",439,439.0,0,0,negative,nan,2026-07-08 22:57:27.498372+00:00
tiktok,"Suami Cikgu Mala ialah Cikgu Maarof. Sahabat saya semasa di Segamat. Dah lama kami terpisah. Ingat lagi semasa PRK Tenang dulu, timbul isu beliau mengiringi isterinya ke pusat penamaan calon. Akhirnya",439,439.0,0,0,negative,nan,2026-07-08 22:57:27.811418+00:00
tiktok,"Replying to @همبا الله 

Selaku calon Perikatan Nasional DUN Tenang, saya amat menghargai setiap komen, doa, dan kata-kata semangat daripada anda semua yang menjadi sumber kekuatan untuk saya terus me",437,356.0,39.0,23.0,positive,https://www.tiktok.com/@cikgumala_johor/video/7659774096204401941,2026-07-08 14:57:25.811370+00:00
