Platform,Type,ID,Text,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement
x,post,1985983466597728763,"@abdullah12808 @niknazmi Konon guna English tu power la, padahal kosong takde isi. Local election la brader untuk makesure ada accountability. Tengok la sekarang ni, ada issue je PBT lepas tangan. AM pun lantikan politik, nasib baik yg ok, ok, kalau tak hauk.",neutral,Wed Nov 05 08:12:10 +0000 2025,20,0,0,183,0.0,21
x,post,1985725008321057117,"Welcome to...                                                   PBT's Daily Briefing ☕
👇🏽👇🏽👇🏽
MoT #962 New York Election Day, Does Obama Even Matter?

https://t.co/Wi8gD4tgLu via @YouTube",neutral,Tue Nov 04 15:05:09 +0000 2025,0,0,0,26,0.0,0
x,post,1981957003833733334,"https://t.co/ylOmZv0JLu
Virgin Islands St Thomas Petersburg Union Richmond Lynchburg Voorhees Denmark Institute West Virginia Wiley Marshall Winston-Salem Xavier Professor Black Truth MoT PBT Biden President Election #MSNBC Tyler Perry Zatima All The Queens Men Sistas Bruh PIT LA",neutral,Sat Oct 25 05:32:27 +0000 2025,1,0,0,14,0.0,1
x,post,1979395417407365316,"https://t.co/QsPrroRzkw
Virgin Islands St Thomas Petersburg Union Richmond Lynchburg Voorhees Denmark Institute West Virginia Wiley Marshall Winston-Salem Xavier Professor Black Truth MoT PBT Biden President Election #MSNBC Tyler Perry Zatima All The Queens Men Sistas Bruh LOU NC",neutral,Sat Oct 18 03:53:37 +0000 2025,1,0,0,15,0.0,1
x,post,1975765779619688613,"https://t.co/raRp7iVdFW
Lynchburg Voorhees Denmark Institute West Virginia Wiley Marshall Winston-Salem Xavier Professor Black Truth MoT PBT Biden President Election #MSNBC Tyler Perry Zatima All The Queens Men Sistas Bruh #SistasOnBET #SistasOnBETPlus House Of Payne BMF Power",neutral,Wed Oct 08 03:30:44 +0000 2025,1,0,0,17,0.0,1
x,post,1974662916763984331,"@atiku Atiku and PBT are the same type of politicians that joined hands with late OMB to push GEJ out of power using the advantages of the terrorist campaign of violence to scare voters in the north while chunking out manipulated election results.
I make bold to say,",neutral,Sun Oct 05 02:28:21 +0000 2025,0,0,0,31,0.0,0
x,post,1972011922930434550,"@HBMayana_ Am 100% sure that if inec conduct free and fair election PBT will not go back for second tenure.nigerians are suffering. with his terrible policies. with high rate of petrol price,now we are facing new tax policies in jan please help us beg him to allow Nigerians to breathe",neutral,Sat Sep 27 18:54:15 +0000 2025,0,0,0,12,0.0,0
x,post,1970156016907194559,"@pbt_dee @barriere_dr @IshiTheDOGE Si t'as pas compris avec tout ce qu'il se passe aux US depuis son élection, on ne peut rien faire pour toi 🤡",neutral,Mon Sep 22 15:59:32 +0000 2025,0,0,2,64,0.0,2
x,post,1969933040119058562,"@StratCommX Betul. Especially PBT. Mmg kebal betul PBT ni, tukar la kerajaan mana pun, dia tetap mcm tu 🤣. Sebab tu perlu ada local council election untuk ada accountability.",neutral,Mon Sep 22 01:13:31 +0000 2025,4,0,0,68,0.0,4
x,post,1969825051940921661,"https://t.co/EhRdXS1UU4
St Thomas Petersburg Union Richmond Lynchburg Voorhees Denmark Institute West Virginia Wiley Marshall Winston-Salem Xavier Professor Black Truth MoT PBT Biden President Election #MSNBC Tyler Perry Zatima All The Queens Men Sistas Bruh #SistasOnBET OKC GAP",neutral,Sun Sep 21 18:04:24 +0000 2025,0,0,0,8,0.0,0
x,post,1969618122006282722,"https://t.co/P6SAbrvMKm
Denmark Institute West Virginia Wiley Marshall Winston-Salem Xavier Professor Black Truth MoT PBT Biden President Election #MSNBC Tyler Perry Zatima All The Queens Men Sistas Bruh #SistasOnBET #SistasOnBETPlus House Of Payne BMF Power Book Ghost The Oval",neutral,Sun Sep 21 04:22:08 +0000 2025,0,0,0,10,0.0,0
x,post,1968692779346694361,"Ana Cabrera, Ph.D., pollinator safety expert at Bayer CropScience, was elected this year to the role of VP-Elect for the ESA Physiology, Biochemistry, &amp; Toxicology (PBT) Section. https://t.co/o92Vi7fCcu https://t.co/CDqLHo226u",neutral,Thu Sep 18 15:05:09 +0000 2025,0,0,1,41,0.0,1
x,post,1965095452224970840,"A chieftain of PDP, Dele Momodu, has faulted the zoning of presidential tickets ahead of the 2027 general election, stressing that it was being manipulated to favour the ruling APC.

He described it as unconstitutional and deliberately targeted at reducing competition against PBT https://t.co/fmMVS1LSKq",neutral,Mon Sep 08 16:50:40 +0000 2025,0,0,0,8,0.0,0
x,post,1961628806277710139,@amer7211 laa ni depa dok canang election PBT pulak bang. mcm bodo,neutral,Sat Aug 30 03:15:27 +0000 2025,0,0,0,11,0.0,0
x,post,1960524201795719209,"satu je, election tak election, duit dbkl tu pbt or federal jangan kacau. penat2 kita bayar cukai segala tiber sibuk je ada tangan lain nak amik",neutral,Wed Aug 27 02:06:09 +0000 2025,0,0,0,84,0.0,0
x,post,1959152825533071626,"This is a really important post from @TindakV2 (again, you should all be following them, election mania coming soon!).

We always say that election boundaries should ""respect local ties"". And then we use district/PBT boundaries as a proxy for local ties.

However, those district/PBT boundaries are often hugely problematic, and have not shifted to respond to population changes.

In fact, in an ideal world, electoral boundaries would give you the best sense of how to subdivide a country, because by law they can change every 8 years.

Besides the excellent example of Padawan which Tindak gave, my other favourite example is Kuala Lumpur itself.

The boundary dividing Selangor and KL is frankly incoherent. It made a lot more sense in 1974, for the population/addresses at the time.

Over 50 years, the population has sprawled and shifted, but the boundary remains the same.",neutral,Sat Aug 23 07:16:47 +0000 2025,46,19,3,10489,0.0,172
x,post,1957268691617485076,@niknazmi Buat la pbt election. Macam sial meleis2 atasan ni hari2 sembang pasal agama tapi corrupt as fuck 🖕,neutral,Mon Aug 18 02:29:55 +0000 2025,1,0,0,173,0.0,2
x,post,1954494349120823381,"@grok @SunnyOko360928 @KadunaResident @PeterObi @officialABAT @OfficialAPCNg @atiku I think @SunnyOko360928 knows more than @grok bcz I didn't know what they will gain in running separately! Can @PeterObi defect @atiku in North? Defect @officialABAT in different states with the support of @inecnigeria, @PoliceNG and others by PBT. No any fair election in Nigeria",neutral,Sun Aug 10 10:45:40 +0000 2025,1,0,1,6,0.0,2
x,post,1953013051197939724,"@CallSignTsoi Di Selangor 12 PBT semua majoriti Melayu. Di KL Melayu dah hampir 50% majoriti, apa nak takut tah nak buat local gov election semula.",neutral,Wed Aug 06 08:39:31 +0000 2025,2,0,1,40,0.0,3
