Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,comments,engagement_score
x,post,2020888314036076909,ชั้นงง ดินแดนที่เจริญกว่าใครเขต 2 มี ดร. ให้เลือกเยอะแยะ แต่เลือกแกนนำที่บุกไปพรรคพท แล้วยืนฉอดเสียงดังใส่ รปพ.  ล่าสุดแก้วตายังมาบอกว่าปลอมเอกสารให้เซ็น งงมาก ฉลาดกว่าใคร ส่วนรอบแล้วปทุม คนในก็รู้ ๆ กัน ฉันคนเคยนอนกินด้วยกัน แต่ปชชไม่รู้ ก็ได้เป็น สส เฉย พรรคนี้เค้าเลือกคนสุด ๆ,https://x.com/ShizuruYuri/status/2020888314036076909,neutral,Mon Feb 09 15:51:35 +0000 2026,0,0,0,34,0.0,0,[],0.034
x,post,2018931006238327193,"Kalau pemilihan pkr tempoh hari tu telus, tak ada percaturan, boleh jadi RR kekal TP, bleh jadi kalah. Tapi kalah bermaruah lah. Bila kalah bermaruah takde lah RR nak marah² . Tapi sebab pemilihan dicatur. Umpama jolok sarang tebuan. Hadap la pro PMX semua😉",https://x.com/SyeffulE/status/2018931006238327193,neutral,Wed Feb 04 06:13:56 +0000 2026,94,19,8,3981,0.0,160,[],159.981
x,post,2020893243890938147,ล่าสุดคนแก่แถวบ้านถามทำไมอนุทินได้นายก พอถามสส.เลือกใคร ตอบว่าเลือกตาคนเดิมแต่ตาคนนั้นมันย้ายพรรคไปภูมิใจไทยสมัยนี้ เออเอาเหอะ กุบอกแล้วจริง ๆ เค้าเลือกที่คนเดิมที่คุ้นชิ้น เค้าไม่รู้ระบอบมันเป็นยังไง,https://x.com/didibananaminie/status/2020893243890938147,neutral,Mon Feb 09 16:11:10 +0000 2026,0,0,0,15,0.0,0,[],0.015
x,post,2020890721121931481,"Kapan yaa libur jd Jumat. Minggu ngga usah. Kapan ya pajak ga ada diganti zakat (yg bayar ya hanya yg mampu)

Kapaan gitu pemerkosa dirajam, pembunuh dibunuh juga, maling dipotong tangan, rampok disalib 

Kapan ya riba dibuat ilegal. Pdhl katanya sesuai maunya Islam dan mayoritas",https://x.com/QueenImaIsBack/status/2020890721121931481,neutral,Mon Feb 09 16:01:08 +0000 2026,2,0,0,70,0.0,2,[],2.07
x,post,2020888962689331709,@jmin_thv ขออนุญาตตอบนะคะ พีพีติดตารางที่จีนที่ลงไว้ก่อนกกต.ประกาศวันเลือกตั้งทั้ง 2 วันค่ะ โดยตารางงานลากยาวตั้งแต่ 09:00 - 18:00 โดนประมาณค่ะ จากตารางเวลาเราเข้าใจว่าน้องไม่มีทางเลือกจริงๆค่ะ เพราะงานไซน์ต้องปฏิบัติตามเอกสารที่ยื่นขอรัฐบาลจีนไป ไม่สามารถเลื่อนวันเวลาได้ https://t.co/FW8XnrLm1L,https://x.com/sakuwakii/status/2020888962689331709,neutral,Mon Feb 09 15:54:09 +0000 2026,37,60,0,4526,0.0,142,[],161.526
x,post,2020897135793991881,ทำไมการนับใหม่ถึงเปนเรื่องยากขนาดนี้ อยากให้ประกาศนับใหม่ให้หมด หลายๆ จะได้นับหีบเดิมมั้ยล่ะ ขนาดผ่านการเลือกตั้งมาเมื่อวาน วันนี้มีคนยกหีบแล้ว มีหลักฐานในเน็ตทุกอย่าง ถ้าปชชไม่สู้ นี่ว่าเสียคะแนนไปฟรีๆ ถึงแพ้ไม่เป็นไร ตอนนี้อยากได้อะไรที่มันโปร่งใส ถ้าคิดว่าจะชนะมันกลัวอะไรนัก ไม่เข้าใจ นี่เหมือนชะลอไปเรื่อยอะ ควรเคลียร์เรื่องนี้ก่อนไหม #นับใหม่ทั่วประเทศ,https://x.com/merbunqt/status/2020897135793991881,neutral,Mon Feb 09 16:26:38 +0000 2026,0,0,0,28,0.0,0,[],0.028
x,post,2020888653678154145,น้ำเงินชนะไม่ใช่ประเด็นคะพี่ ชนะก็ชนะไป แต่ที่เค้ากำลังให้นับใหม่ คือมันมีหลักฐานว่าโกง ก็แค่นับใหม่ ถ้าผลออกมาเหมือนเดิมตามรอบแรก ตามนั่นคือจบ แต่ปชชก็สรสิทธิไง พิรุธอะไรเยอะมาก,https://x.com/jxxthxxck/status/2020888653678154145,neutral,Mon Feb 09 15:52:55 +0000 2026,1,0,0,40,0.0,1,[],1.04
x,post,2020895857164640737,"https://t.co/TBeUI5kfSr JurnalPatroliNews – Jakarta – Gagasan Partai Amanat Nasional (PAN) yang mulai membuka peluang mengusung Ketua Umumnya, Zulkifli Hasan, sebagai calon wakil presiden pendamping Prabowo",https://x.com/Jurnalpatroli_/status/2020895857164640737,neutral,Mon Feb 09 16:21:33 +0000 2026,0,0,0,9,0.0,0,[],0.009000000000000001
x,post,2019797314597249350,"#BuletinBernama: Jangan pandang rendah Universiti Awam laksana kajian pilihan raya PBT

#digitalbernamatv #fahmifadzil #universitiawam #pilihanrayapbt #datukbandar https://t.co/IksjOW7ppl",https://x.com/BernamaTV/status/2019797314597249350,neutral,Fri Feb 06 15:36:20 +0000 2026,1,0,0,247,0.0,3,[],1.2469999999999999
x,post,1931247467552460984,"UTBK 2024 vs UTBK 2025

Peringkat pertama masih dipegang oleh PBM dan peringkat kedua juga masih dipegang oleh PM https://t.co/9p5U4qbkhY",https://x.com/soursaltair/status/1931247467552460984,neutral,Sat Jun 07 07:10:51 +0000 2025,410,14,8,21347,0.0,645,[],483.347
x,post,2020897043309642046,"What YB Adam Adli can do now for PTPTN ialah ban Riba dalam hutang. Then siapa yang consistent bayar hutang boleh keluar negara, tak bayar terus sekat passport.

@AdamAdli",https://x.com/fendithehunk/status/2020897043309642046,neutral,Mon Feb 09 16:26:16 +0000 2026,0,0,0,15,0.0,0,[],0.015
x,post,2020897679933591600,"ก่อนหมดวันนี้อย่าลืมจิ้ม โหวตฟรีคนละ 1 ครั้งนะอ้วม 🥺🤍

🦆🐰 : https://t.co/4RdIkHAUke

🐰 : https://t.co/w5xW2AbmMt

🦆 : https://t.co/4FoNhagjBL

🦆🐰 : https://t.co/ADqMlNsUGW

#VoteforKNP 
#KengNamping | #เก่งน้ำปิง https://t.co/d8ZgMweAOn",https://x.com/nabuttersweet/status/2020897679933591600,neutral,Mon Feb 09 16:28:48 +0000 2026,1,1,0,56,0.0,2,[],3.056
