platform,content,engagement,likes,comments,shares,sentiment,url,date
instagram,Perdana Menteri Datuk Seri @anwaribrahim_my berkata langkah itu melibatkan premis milik agensi kerajaan seperti Majlis Amanah Rakyat (MARA) dan Perbadanan Pembangunan Bandar (UDA) dengan pengurangan k,46,43.0,3.0,0,positive,https://www.instagram.com/p/DX83cK4GydP/,2026-05-05 08:55:39+00:00
instagram,"Introducing our product ✨

Small Scrunchies🦕 
RM3.50 Only! 

🤍Setiap pembelian anda akan disalurkan kepada Kesatuan Sekolah Alternatif yang terkesan akibat tanah runtuh & krisis air

📲Ayuh membeli sam",22,22.0,0,0,neutral,https://www.instagram.com/p/DXwQBhIgbmP/,2026-04-30 11:20:19+00:00
instagram,"Pemilikan bumiputera seharusnya tidak terhenti pada perniagaan kecil semata-mata, tetapi perlu bergerak kepada penguasaan rantaian nilai yang lebih besar, kata Timbalan Perdana Menteri Datuk Seri Dr A",21,21.0,0,0,negative,https://www.instagram.com/p/DZE6AfYGI4n/,2026-06-02 08:23:23+00:00
instagram,"EMERGING ENTREPRENEURS - TOURISM.

An animated day of sharing from our 3 guests speakers, and a side presentation by Cahaya Society and their colourful craft, made this session a very engaging one.

F",12,12.0,0,0,positive,https://www.instagram.com/p/DXg1CxUEVF7/,2026-04-24 11:35:57+00:00
instagram,"Seramai 107 usahawan mikro dan kecil menerima manfaat menerusi Dana Usahawan Madani Selangor (DUMS) 2026 membabitkan peruntukan berjumlah RM2 juta.

EXCO Keusahawanan Mohd @najwanhalimi  berkata DUMS ",8,8.0,0,0,positive,https://www.instagram.com/p/DZNFMpFjk94/,2026-06-05 12:35:07+00:00
instagram,Beliau menegaskan bahawa proses kelulusan permit yang terlalu lama dan berbelit-belit boleh menjadi penghalang kepada pelaburan baharu serta menjejaskan kedudukan Indonesia dalam persaingan ekonomi se,8,8.0,0,0,positive,https://www.instagram.com/p/DZEbWy4Fuk8/,2026-06-02 03:55:34+00:00
instagram,"WHERE DO YOU GO FROM HERE?

Come meet our seasoned financial expert and startup model Christina and KaVui. Learn first-hand knowledge about your idea / business, and how to scale and expand your busin",7,7.0,0,0,positive,https://www.instagram.com/p/DYUKwm6kXUj/,2026-05-14 10:06:59+00:00
instagram,"Akhirnya Tumpas!!

Rebah terbaring!

Hari ni mungkin penat.
Mungkin sakit.
Mungkin hampir rebah.

Yang pernah lalui jalan ini… inilah nikmatnya..

Orang boleh cakap apa saja.
Yang tak pernah lalui, me",5,5.0,0,0,negative,https://www.instagram.com/p/DYgUwc2kjU7/,2026-05-19 03:25:14+00:00
instagram,"EXCO Kerajaan Tempatan dan Pelancongan, Dato’ @ngsueelim berkata perkara itu memberi impak besar dan memerlukan penelitian mendalam serta perbincangan lanjut sebelum sebarang keputusan dibuat.

“Cadan",5,4.0,1.0,0,positive,https://www.instagram.com/p/DX_OsudnPtr/,2026-05-06 06:57:22+00:00
instagram,"✨ SPM Ekonomi / Perniagaan 🆓免费试听课来啦！✨
还在担心不会做题？看不懂konsep？写答案总是拿不到分？😵‍💫
别担心，Ziyuan学长带你从基础开始，一步一步学到会！💯

📚 免费试听时间
📌 Perniagaan：5月30日（星期六）
🕗 7:00PM – 8:00PM

📌 Ekonomi：5月31日（星期日）
🕗 7:00PM – 8:00PM

✨ 试听内容",4,4.0,0,0,neutral,https://www.instagram.com/p/DYo9FRPBPgY/,2026-05-22 11:55:24+00:00
instagram,"3 hari lagi sebelum kelas bermula.. Cepat daftar!! Jumpa dalam kelas nanti ya... 
#ilmu #ilmustudent #perniagaan",4,4.0,0,0,positive,https://www.instagram.com/p/DX6f8n-EbGU/,2026-05-04 10:51:54+00:00
instagram,"Ready ya bosqu
grosiran sandal dan sepatu
Import dn lokal

#Tkbandarbarujakarta
#perniagaan",3,2.0,1.0,0,neutral,https://www.instagram.com/p/DYyuYdvkqn8/,2026-05-26 06:55:31+00:00
instagram,"EXCO Kerajaan Tempatan dan Pelancongan, Dato’ @ngsueelim berkata perkara itu memberi impak besar dan memerlukan penelitian mendalam serta perbincangan lanjut sebelum sebarang keputusan dibuat.

“Cadan",3,3.0,0,0,positive,https://www.instagram.com/p/DX_aW7cmvFP/,2026-05-06 08:40:11+00:00
instagram,"Tempatnya grosiran sandal termurah
Import dan lokal

#Tkbandarbaru
#jakarta 
#perniagaan",3,3.0,0,0,positive,https://www.instagram.com/p/DXobnWqlH_k/,2026-04-27 10:27:42+00:00
instagram,"📚 Nota ringkas Perniagaan Tingkatan 4 Bab2! 
✨ 2.1 Peranan kerajaan (tempatan, negara, serantau) 
✨ 2.2 Trend persekitaran perniagaan 
✨ 2.3 Faktor perubahan perniagaan 
✨ 2.4 Kesan kepada organisasi ",3,3.0,0,0,neutral,https://www.instagram.com/p/DXWOJSzE8bV/,2026-04-20 08:43:39+00:00
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:39.501295
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:39.792484
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:40.087908
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:40.372476
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:40.661081
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:40.964046
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:41.268840
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:41.565924
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:41.863661
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:42.156630
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:42.450949
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:42.736964
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:43.021525
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:43.314087
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:43.602211
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:43.893996
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:44.176733
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:44.499451
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:44.791458
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:45.081967
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:45.368169
