Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,video_url,media_type,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,author_demographic,author_demo_confidence,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
tiktok,comment,7657010233767693589_comment_13,rugi siapa yg duduk DUN tenang kalo tak undi cikgu mala seorang yang baik..suami dia cikgu Maarof yg mgajar aku kat sekolah menegah dulu..seorg yg baik sentiasa tersenyum..semoga cikgu mala menang di DUN tenang..,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,positive,2026-07-08 22:57:22.905879+00:00,108,0,0,0,0.9628126740455627,108,,,,,,positive,0.8760422468185425,malay,Malay/Bumiputera,Unknown,0.0,love,0.0819770023226738,0.013097566552460194,0.03541909530758858,0.01739192195236683,0.7727174162864685,0.01487587857991457
tiktok,comment,7657010233767693589_comment_14,Ini kalilah menang. Amiin,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,negative,2026-07-08 22:57:22.905882+00:00,19,0,0,0,0.07417188137769698,19,,,,,,negative,0.7527603954076767,multilingual,Unknown,Unknown,0.0,no_clear_emotion,0.035063114017248154,0.019900131970643997,0.06281871348619461,0.02158890664577484,0.3522903621196747,0.04155977815389633
tiktok,comment,7657010233767693589_comment_15,sejuk nye tengok .....,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,negative,2026-07-08 22:57:22.905884+00:00,3,0,0,0,0.1538456216454506,3,,,,,,negative,0.48718126118183136,multilingual,Unknown,Unknown,0.0,love,0.12699900567531586,0.09775779396295547,0.2133311629295349,0.07022187858819962,0.25617197155952454,0.07720352709293365
tiktok,comment,7657010233767693589_comment_16,bangkit anak muda berjuang ..kita undi ramai2,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,neutral,2026-07-08 22:57:22.905887+00:00,2,0,0,0,0.5,2,,,,,,neutral,0.8699929118156433,english,Mixed/Urban,Unknown,0.0,happy,0.03860905021429062,0.04035446047782898,0.3395346999168396,0.023702917620539665,0.2780742943286896,0.0318189337849617
tiktok,comment,7657010233767693589_comment_17,blh gnti mnteri kpm👍💪💪,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,positive,2026-07-08 22:57:22.905889+00:00,24,0,0,0,0.9264665603637695,24,,,,,,positive,0.7548885345458984,english,Mixed/Urban,Unknown,0.0,love,0.04852288216352463,0.01889001950621605,0.048868682235479355,0.020373469218611717,0.7607128024101257,0.013722032308578491
tiktok,comment,7657010233767693589_comment_18,Tenang je ak tgk.menang ni.aura lain mcm,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,neutral,2026-07-08 22:57:22.905893+00:00,22,0,0,0,0.5,22,,,,,,neutral,0.7565304636955261,english,Mixed/Urban,Unknown,0.0,love,0.017335880547761917,0.013391174376010895,0.04141004756093025,0.011314625851809978,0.4969746470451355,0.07632223516702652
tiktok,comment,7657010233767693589_comment_19,"#JohorPilihPN
#JomJagaJohor
#MahasiswaPilihPerikatanNasional
#PASPN",https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,neutral,2026-07-08 22:57:22.905896+00:00,3,0,0,0,0.5,3,,,,,,neutral,0.8235319256782532,english,Mixed/Urban,Unknown,0.0,no_clear_emotion,0.07324711978435516,0.034366119652986526,0.09353001415729523,0.04730192944407463,0.33520224690437317,0.04053390026092529
tiktok,comment,7657010233767693589_comment_20,[Sticker] semoga cikgu Mala diberikan kemenangan & menjadi YB terbaik utk Dun Tenang 🤲🏻,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,positive,2026-07-08 22:57:22.905899+00:00,2,0,0,0,0.9994037985801696,2,,,,,,positive,0.9980126619338989,malay,Malay/Bumiputera,Unknown,0.0,happy,0.02311592921614647,0.036821164190769196,0.6746827363967896,0.015960698947310448,0.19606077671051025,0.020770501345396042
tiktok,comment,7657010233767693589_comment_21,pilihn kmi ank jhor....terbaik,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,positive,2026-07-08 22:57:22.905902+00:00,59,0,0,0,0.9622847348451613,59,,,,,,positive,0.8742824494838715,multilingual,Unknown,Unknown,0.0,love,0.04371500760316849,0.029270660132169724,0.12760524451732635,0.01563568413257599,0.5836088061332703,0.04052908346056938
tiktok,comment,7657010233767693589_comment_22,#jagajohor🤍💚,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,positive,2026-07-08 22:57:22.905905+00:00,1,0,0,0,0.972652769088745,1,,,,,,positive,0.9088425636291504,english,Mixed/Urban,Unknown,0.0,love,0.1797514706850052,0.07551967352628708,0.07955747842788696,0.0399373397231102,0.33619070053100586,0.029551716521382332
