Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement
tiktok,comment,7636652176655289608_comment_1,modal Ai 😁,https://www.tiktok.com/@hungkietmai188/video/7636652176655289608,7636652176655289608,neutral,2026-06-21T17:37:26.149842+00:00,34,0,0,0,0.0,34
tiktok,comment,7636652176655289608_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@hungkietmai188/video/7636652176655289608,7636652176655289608,neutral,2026-06-21T17:37:26.149815+00:00,52,0,0,0,0.0,52
tiktok,comment,7640852483748777249_comment_1,modal Ai 😁,https://www.tiktok.com/@a_user686/video/7640852483748777249,7640852483748777249,neutral,2026-06-21T17:37:25.856376+00:00,34,0,0,0,0.0,34
tiktok,comment,7640852483748777249_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@a_user686/video/7640852483748777249,7640852483748777249,neutral,2026-06-21T17:37:25.856337+00:00,52,0,0,0,0.0,52
tiktok,comment,7646186310566284576_comment_1,modal Ai 😁,https://www.tiktok.com/@s7nx_0/video/7646186310566284576,7646186310566284576,neutral,2026-06-21T17:37:25.536046+00:00,34,0,0,0,0.0,34
tiktok,comment,7646186310566284576_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@s7nx_0/video/7646186310566284576,7646186310566284576,neutral,2026-06-21T17:37:25.536015+00:00,52,0,0,0,0.0,52
tiktok,comment,7628300143988575509_comment_1,modal Ai 😁,https://www.tiktok.com/@gulaagulaaa__/video/7628300143988575509,7628300143988575509,neutral,2026-06-21T17:37:25.154827+00:00,34,0,0,0,0.0,34
tiktok,comment,7628300143988575509_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@gulaagulaaa__/video/7628300143988575509,7628300143988575509,neutral,2026-06-21T17:37:25.154796+00:00,52,0,0,0,0.0,52
tiktok,comment,7647236056504470816_comment_1,modal Ai 😁,https://www.tiktok.com/@gitaghaderi/video/7647236056504470816,7647236056504470816,neutral,2026-06-21T17:37:24.789296+00:00,34,0,0,0,0.0,34
tiktok,comment,7647236056504470816_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@gitaghaderi/video/7647236056504470816,7647236056504470816,neutral,2026-06-21T17:37:24.789262+00:00,52,0,0,0,0.0,52
tiktok,comment,7599574272129895701_comment_1,modal Ai 😁,https://www.tiktok.com/@toufisangare1/video/7599574272129895701,7599574272129895701,neutral,2026-06-21T17:37:24.474917+00:00,34,0,0,0,0.0,34
tiktok,comment,7599574272129895701_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@toufisangare1/video/7599574272129895701,7599574272129895701,neutral,2026-06-21T17:37:24.474880+00:00,52,0,0,0,0.0,52
tiktok,comment,7644638906167627015_comment_1,modal Ai 😁,https://www.tiktok.com/@ecrinthn/video/7644638906167627015,7644638906167627015,neutral,2026-06-21T17:37:24.170932+00:00,34,0,0,0,0.0,34
tiktok,comment,7644638906167627015_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@ecrinthn/video/7644638906167627015,7644638906167627015,neutral,2026-06-21T17:37:24.170906+00:00,52,0,0,0,0.0,52
tiktok,comment,7635712686516358432_comment_1,modal Ai 😁,https://www.tiktok.com/@andrzelika04/video/7635712686516358432,7635712686516358432,neutral,2026-06-21T17:37:23.778256+00:00,34,0,0,0,0.0,34
tiktok,comment,7635712686516358432_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@andrzelika04/video/7635712686516358432,7635712686516358432,neutral,2026-06-21T17:37:23.778223+00:00,52,0,0,0,0.0,52
tiktok,comment,7650170024509902087_comment_1,modal Ai 😁,https://www.tiktok.com/@amadzoabi/video/7650170024509902087,7650170024509902087,neutral,2026-06-21T17:37:23.448283+00:00,34,0,0,0,0.0,34
tiktok,comment,7650170024509902087_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@amadzoabi/video/7650170024509902087,7650170024509902087,neutral,2026-06-21T17:37:23.448266+00:00,52,0,0,0,0.0,52
tiktok,comment,7494693353401994527_comment_1,modal Ai 😁,https://www.tiktok.com/@umcpaasu/video/7494693353401994527,7494693353401994527,neutral,2026-06-21T17:37:23.141661+00:00,34,0,0,0,0.0,34
tiktok,comment,7494693353401994527_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@umcpaasu/video/7494693353401994527,7494693353401994527,neutral,2026-06-21T17:37:23.141630+00:00,52,0,0,0,0.0,52
tiktok,comment,7572404431732460807_comment_1,modal Ai 😁,https://www.tiktok.com/@quziboyev_16/video/7572404431732460807,7572404431732460807,neutral,2026-06-21T17:37:22.827304+00:00,34,0,0,0,0.0,34
tiktok,comment,7572404431732460807_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@quziboyev_16/video/7572404431732460807,7572404431732460807,neutral,2026-06-21T17:37:22.827268+00:00,52,0,0,0,0.0,52
tiktok,comment,7596586962103029010_comment_1,modal Ai 😁,https://www.tiktok.com/@padukaum/video/7596586962103029010,7596586962103029010,neutral,2026-06-21T17:37:22.527247+00:00,34,0,0,0,0.0,34
tiktok,comment,7596586962103029010_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@padukaum/video/7596586962103029010,7596586962103029010,neutral,2026-06-21T17:37:22.527212+00:00,52,0,0,0,0.0,52
tiktok,comment,7436748347127467320_comment_1,modal Ai 😁,https://www.tiktok.com/@randi_.eka/video/7436748347127467320,7436748347127467320,neutral,2026-06-21T17:37:22.163296+00:00,34,0,0,0,0.0,34
tiktok,comment,7436748347127467320_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@randi_.eka/video/7436748347127467320,7436748347127467320,neutral,2026-06-21T17:37:22.163260+00:00,52,0,0,0,0.0,52
tiktok,comment,7638118060745903381_comment_1,modal Ai 😁,https://www.tiktok.com/@m23553355/video/7638118060745903381,7638118060745903381,neutral,2026-06-21T17:37:21.858863+00:00,34,0,0,0,0.0,34
tiktok,comment,7638118060745903381_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@m23553355/video/7638118060745903381,7638118060745903381,neutral,2026-06-21T17:37:21.858838+00:00,52,0,0,0,0.0,52
tiktok,comment,7639012612885204245_comment_1,modal Ai 😁,https://www.tiktok.com/@1967.02.11/video/7639012612885204245,7639012612885204245,neutral,2026-06-21T17:37:21.540260+00:00,34,0,0,0,0.0,34
tiktok,comment,7639012612885204245_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@1967.02.11/video/7639012612885204245,7639012612885204245,neutral,2026-06-21T17:37:21.540226+00:00,52,0,0,0,0.0,52
tiktok,comment,7635648367959297312_comment_1,modal Ai 😁,https://www.tiktok.com/@shoty_jellyfrucika2/video/7635648367959297312,7635648367959297312,neutral,2026-06-21T17:37:21.196156+00:00,34,0,0,0,0.0,34
tiktok,comment,7635648367959297312_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@shoty_jellyfrucika2/video/7635648367959297312,7635648367959297312,neutral,2026-06-21T17:37:21.196114+00:00,52,0,0,0,0.0,52
tiktok,comment,7633489765077175573_comment_1,modal Ai 😁,https://www.tiktok.com/@molodoi609/video/7633489765077175573,7633489765077175573,neutral,2026-06-21T17:37:20.786103+00:00,34,0,0,0,0.0,34
tiktok,comment,7633489765077175573_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@molodoi609/video/7633489765077175573,7633489765077175573,neutral,2026-06-21T17:37:20.786070+00:00,52,0,0,0,0.0,52
tiktok,comment,7606276595430575381_comment_1,modal Ai 😁,https://www.tiktok.com/@mustafacelik383838/video/7606276595430575381,7606276595430575381,neutral,2026-06-21T17:37:20.474962+00:00,34,0,0,0,0.0,34
tiktok,comment,7606276595430575381_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@mustafacelik383838/video/7606276595430575381,7606276595430575381,neutral,2026-06-21T17:37:20.474913+00:00,52,0,0,0,0.0,52
tiktok,comment,7647617683822775584_comment_1,modal Ai 😁,https://www.tiktok.com/@szyszka0789/video/7647617683822775584,7647617683822775584,neutral,2026-06-21T17:37:20.011525+00:00,34,0,0,0,0.0,34
tiktok,comment,7647617683822775584_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@szyszka0789/video/7647617683822775584,7647617683822775584,neutral,2026-06-21T17:37:20.011494+00:00,52,0,0,0,0.0,52
tiktok,comment,7571899139600993537_comment_1,modal Ai 😁,https://www.tiktok.com/@montserratalbor/video/7571899139600993537,7571899139600993537,neutral,2026-06-21T17:37:19.577961+00:00,34,0,0,0,0.0,34
tiktok,comment,7571899139600993537_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@montserratalbor/video/7571899139600993537,7571899139600993537,neutral,2026-06-21T17:37:19.577928+00:00,52,0,0,0,0.0,52
tiktok,comment,7643886956073569566_comment_1,modal Ai 😁,https://www.tiktok.com/@littlevictorianboy/video/7643886956073569566,7643886956073569566,neutral,2026-06-21T17:37:19.240333+00:00,34,0,0,0,0.0,34
tiktok,comment,7643886956073569566_comment_0,naratif yg dibina berdasarkan fakta didepan mata,https://www.tiktok.com/@littlevictorianboy/video/7643886956073569566,7643886956073569566,neutral,2026-06-21T17:37:19.240300+00:00,52,0,0,0,0.0,52
tiktok,comment,7625115126487633159_comment_1,modal Ai 😁,https://www.tiktok.com/@user4060861963252/video/7625115126487633159,7625115126487633159,neutral,2026-06-21T17:37:18.932465+00:00,34,0,0,0,0.0,34
