Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement
news,post,43f195d190a27dce,Negeri Sembilan state assembly to be dissolved on June 5. Negeri Sembilan state assembly to be dissolved on June 5&nbsp;&nbsp;The Straits Times,https://news.google.com/rss/articles/CBMinwFBVV95cUxNc1lDeUxldnlVbG42ZklSdkdkQzhyNzJyVjM5aHpHV1NWWEFyRWFEcThGbTRfSlJva21majdEdzc4OWppN0pzc1B0RnlqRDhUZjMxS2FmUXFPTkdsdXNBT3dhSGp3YlZwUEc0d0NEU2d5SF9JWUNUel9nUkRVN2J4dEN0bkgzVlVkRmtKVjRzQ2tSd3d2aDhyWHlybkFTUTA?oc=5,,2026-06-04T16:57:04+00:00,0,0,0,0,0.0,0
news,post,2bf623cb2aed6e8b,Negeri Sembilan assembly to be dissolved tomorrow. Negeri Sembilan assembly to be dissolved tomorrow&nbsp;&nbsp;Free Malaysia Today,https://news.google.com/rss/articles/CBMimwFBVV95cUxNTHNTbjZMTU1FMFBCT0hBZndMN0ZqcFZtdlNRVEtWdGhBNFYxNFJrRUt4U1ZPUDZNMWw2cFFseTQtVGE5am5Lbjl1T1NqMkZYd2dQMEtaZkFzTHk3emdnQVpQa2U2Y2hmU1ZKY3pOYUxGX1VQS014UlVRdEtENnpvQVRfblM5WjNZYzA2UzdyQXRkYUFhcHBMVzdwRQ?oc=5,,2026-06-04T15:32:26+00:00,0,0,0,0,0.0,0
news,post,8cd52767fd956fb3,"Negeri Sembilan MB says Umno ‘lost direction’, urges grassroots to close ranks ahead of polls. Negeri Sembilan MB says Umno ‘lost direction’, urges grassroots to close ranks ahead of polls&nbsp;&nbsp;The Edge Malaysia",https://news.google.com/rss/articles/CBMiUEFVX3lxTFA0NXpqU0tXeWpoN3p4aHZtU3Z6MGYxRXpmWEZqdnFhRjVwY2ZSWVZSeWc5N09TMEJIbzR0Rmx2MEpNZlJnemZDM2tSMC1MS0lV?oc=5,,2026-05-17T07:00:00+00:00,0,0,0,0,0.0,0
news,post,27bf1babc6354293,Second snap state poll in Malaysia signals cracks in Anwar’s coalition. Second snap state poll in Malaysia signals cracks in Anwar’s coalition&nbsp;&nbsp;South China Morning Post,https://news.google.com/rss/articles/CBMiygFBVV95cUxQRjFDSzhSb1Y5R3czYVh0Rnh1S2hYVXZoaXc5M2xSUGhiMzVXS3ExNm12YmRlNG1xMnlkVlQ1SmhubEhMcThnQnBQUXFKbHdfUXpJdFQwM0M5V2FDRlRXSHA0ZkMxa0N1S3VZR1E0bGwteUFGUzYzZDk4TXVWSFVJa1VodTBjYU9TZXpmWm9IbVN0YnFOZ2RSVnRQTmdfRGRXYlU1YXZjM01vYnRKVkY0RDFlWUxNczhNUUs5RUNLckFqTkNVMVhnWUt30gHKAUFVX3lxTFBrM2FyU05ZZWlrTmFUZl9PbkkyeUE2dzI4T1JiXzZfcUMzOUVmUlRieEMtakw1TWsySVg2dVhubmNXQWsybHZtZk5JMVdoUEJxWlFQN3htQ1p3OGREdkd3eEhESGE2MllMMG9SSjdaVUM5S1BpbEp1Qkx1bVVpNWZCY3NPWmVFM3g1OTVvUlZoWGEtS3U3Z3pNR25saDFMcVZhSG03WGdUWVFveGY4YllSRU1aaDBLa2JfQ180NlNIZGpkVWxpRUhQcXc?oc=5,,2026-06-05T07:51:09+00:00,0,0,0,0,0.0,0
news,post,25d876e6e4e87ebd,Countdown to election: Negeri Sembilan MB announces formal dissolution of state assembly. Countdown to election: Negeri Sembilan MB announces formal dissolution of state assembly&nbsp;&nbsp;Malay Mail,https://news.google.com/rss/articles/CBMi3gFBVV95cUxNaFdOYmdSRVZQSHh6M2VDOC03Q3M3NElOV1pFcVdYVGFfUFNvSWlCcTQyRTMwRVdSQnRsZ0stM01wZXRib25IejRYVUNoclRiN3BYaFhlZmZSSXRaX1RkWGc1czRMOXlFRnJKdENwVFp1VXlMZkwzcFpkVnYxNmc3N193d3pnLXFEVlM5MmZyRDVvR1haV1VBa0tWWllVYklIc01ENHIzb1pVRmtYdEtjX2hyNXVkRmR5N2J6cDlaam54LVN0a3ZQY2d2TThzRlpoXzA0VFBvd2NTcGhBUGfSAeMBQVVfeXFMT1NPbzZ5T1dVLVRhTDdnMkRiV1NNanVHQkdscDBiMDRyX2hjT1puaWFyQjRiQVJKRFBmYkZCYks0VzZhMlZjSEFXbUc4Z1pidXI4dEc3RkdXdDEyd1dOQm15NmZZb3hMaWVxVW9CQnpJZHQtQWprQkh3RXBkc0NPWEdxODJMdk1VcFZpX1JGU2VVWFNYUktmbFczMGFQWTJQLXpfdW54cHF5X3hvVm8zSVAzSlRiUkRuN1JSaExSamFjMVpMOWEzTjZBaFEzYnBhcjVqSW4zRDdxalBKUmhual9lQk0?oc=5,,2026-06-04T15:48:00+00:00,0,0,0,0,0.0,0
news,post,63eecc7dc8fda8c2,Negeri Sembilan’s Tenuous State Assembly: Procedural and Political Tests. Negeri Sembilan’s Tenuous State Assembly: Procedural and Political Tests&nbsp;&nbsp;fulcrum.sg,https://news.google.com/rss/articles/CBMilAFBVV95cUxQekI0YUhsZGdka1FGTHRiTjZUREp6c1JKWmxnRWNOOEdyNWg4LWwxUkxjbXVYdUh4Y2pKVlRDaFJ3QmlqUUJ4UkNfX3VCanFQbzRub05ET2kwN0c3NXFXQ09QbmVNYTIxRmdtSUhKd284UG8tMURpeXJJeEhIbks5UkQ0dWxsYk5US09IYjN5c1hHUDhB?oc=5,,2026-06-03T07:00:00+00:00,0,0,0,0,0.0,0
news,post,dce4db4ee93d1a07,Aminuddin: Returning mandate key to ensuring stability in Negeri Sembilan. Aminuddin: Returning mandate key to ensuring stability in Negeri Sembilan&nbsp;&nbsp;The Malaysian Reserve,https://news.google.com/rss/articles/CBMitwFBVV95cUxQbWRHblFyUDRaSjVZTVhTSDRheF9JOHVENEpERVFUVnF4cF8zTy1VMUxDYm93YWpIRHpxYU5RVXFROHJBNDRaanpGV2daMXlFLXJLUUlMNWk2TXpKZ3pIWDVCdVh2T0xoWTBjdVRtN1E2ZEpJYW9iNWZZQld1T253Q0pIRVZ3MW1TNjcwNzRHN3ZPbUNmaDM5RE5Cd2FfdTJvbWNYd214c2swQmluVl90a1Y5bTc0MDA?oc=5,,2026-06-06T15:40:02+00:00,0,0,0,0,0.0,0
news,post,20d9d2c8e6a14c50,"Negeri Sembilan Continues To Strengthen Appeal As Investment Hub, Aminuddin. Negeri Sembilan Continues To Strengthen Appeal As Investment Hub, Aminuddin&nbsp;&nbsp;BusinessToday Malaysia",https://news.google.com/rss/articles/CBMiuwFBVV95cUxPNkxlSkpUVlE4OUVaOEV0ekRzVUhHNS1wZ3ROQ3liWTZwTURuVXUyY2ZDTFZLY3hTa0YwcEhBdTlPRUs3cFFwZXhfMjQ1eXFFcFFESWdYcTdJeV9CaEpJeXg5YXlBU0lhdUU5RkFMS29iSlVobWxkZHBBZUxfTDkzZVBoUWFMYTNsZHg1Q2ViWGw0MWRsX1NRMTJtaXMwcXBYQW5aOWo5MzZiaGFQMDdZT0M1c1Y4a0lIU0lz?oc=5,,2026-05-22T07:00:00+00:00,0,0,0,0,0.0,0
news,post,e614626d658b16d0,"Negeri Sembilan state assembly to be dissolved on Friday, says MB amid talk of bid to oust ruler. Negeri Sembilan state assembly to be dissolved on Friday, says MB amid talk of bid to oust ruler&nbsp;&nbsp;KLSE Screener",https://news.google.com/rss/articles/CBMi3gFBVV95cUxOSEk4VnF4aEZMYUtKM0FMNmt5Q1ltcTVnRmRZQ3ZrUHgybFBmanJCUmh1a0M5Nl9DRlRMbXZZUXptT0U3dF9xYkgydElYcGVSbFlNNlY0ZW9rMDBqNTg2ZWVPZGRFRDRDWVllUmdJR1BkVkxCTGVuLXczUjJmTWIxWnA0azdlMVpBQ0hCN1AxTUJlNDNtenpQSkZDN1dTM1VlaFNpLTYtQWpjTGRqaEhuOE9kTEYtOTNfNVNzUUNoWWhSY0ZnZmY2MEJBdnA5cWV5NF8xRzRCS19hOTdKVHc?oc=5,,2026-06-04T15:32:24+00:00,0,0,0,0,0.0,0
news,post,d9d05fd55555529e,"N Sembilan chieftains object to state assembly dissolution, warn of legal implications. N Sembilan chieftains object to state assembly dissolution, warn of legal implications&nbsp;&nbsp;Malaysiakini",https://news.google.com/rss/articles/CBMiUkFVX3lxTE5JSHhqQ3dnbEtyQ2RzX0U3dlBYc0xWOW0yVTlQZzBUekRWQVNQQU5nZlpOSGVIR2dfeVNrWTdmNDdCblc2c3hfalVCV0hUeHc2eEE?oc=5,,2026-06-05T08:34:53+00:00,0,0,0,0,0.0,0
