platform,post_content,comment_content,engagement,sentiment,date
instagram,,Xpyh playvictim.. muhasabah balik kenapa pas xnk kerjasama lagi . Sedih bila bangsa sndiri suka tikam belakang Dan khianat.. benih dr UMNO ni mmg gitu laa.. ingatkan dh pusah de UMNO dh ubah perangai ,0,neutral,2026-06-09T15:35:27+00:00
instagram,,parti setahun jagung tapi berlagak,0,neutral,2026-06-09T13:00:26+00:00
instagram,,Dari zaman paklah dh biasa khianat kn..skg rasa getahnya,0,neutral,2026-06-09T12:11:09+00:00
instagram,,Nak perkukuh apa...bersatu sendiri tikam belakang 😂😂,0,neutral,2026-06-09T12:09:06+00:00
instagram,,"Apabila Pengkhianat 
Rasa Dikhianati
SEKALI KHIANAT
SELAMANYA KHIANAT
Never trust a person who betrays others. 
Even if he betrayed them for you. 
🔥🔥🔥🔥🔥
😂😂😂😂😂",0,neutral,2026-06-09T11:23:28+00:00
instagram,,tai,0,neutral,2026-06-09T14:17:53+00:00
instagram,,kertas nya udh ku jadiin sampul buku tulis mtk jip,0,neutral,2026-06-09T11:04:45+00:00
instagram,,Sukarno hatta waktu baca proklamasi,0,neutral,2026-06-09T10:41:33+00:00
instagram,,Bersatu ni tak tahan jadi pembangkang. Pas rilek je.,0,neutral,2026-06-10T17:10:33+00:00
instagram,,13 sial ahli parlimen ni. Jadi mp pun tak function. Dalam dewan senyap sepi. Dah la jadi mp pun perkenan oleh muhyiddin yassin..terima watikah dr muhyiddin. Tapi tak sedar diri. Tak diuntung. Makan ga,0,neutral,2026-06-10T16:15:10+00:00
instagram,,Nampaknya anwar akan menjadi pm untuk penggal yg ke2...😂😂😂😂😂 huru hara parti melayu,0,neutral,2026-06-10T15:08:34+00:00
instagram,,Tu lah.elok dh pas JD MB Perlis kau rampas.org malas nak gaduh simpan dalam hati je..,0,neutral,2026-06-10T13:36:35+00:00
instagram,,Bila tuan rumah kena usir dari rumahnya sendiri😂😂😂,0,neutral,2026-06-10T13:17:21+00:00
instagram,,malangnya nasib mahyuddin..dulu demo nak turunkan pmx tetapi dia pula yg diturunkan dari Ketua PN.skrg bersekongkol dgn UMNO utk tebuk negeri sembilan tetapi parti dia pula yang ditebuk gengnya sendir,0,neutral,2026-06-10T13:02:31+00:00
instagram,,"Nak keluar, Keluar lah. Tak hairan pun.",0,neutral,2026-06-10T13:00:07+00:00
instagram,,"Bersatu boleh tukar nama kepada Bercerai…masuk je umno.
janda lama lagi berhias.",0,neutral,2026-06-10T13:00:04+00:00
instagram,,Jelasnya siapa yang tubuhkan PN;Cuba lihat Perlembagaannya..,0,neutral,2026-06-10T12:56:18+00:00
instagram,,Yg desak ni DAP kn,0,neutral,2026-06-10T12:53:02+00:00
instagram,,Pas lah yg patut keluar,0,neutral,2026-06-10T12:38:29+00:00
instagram,,Nak lompat parti tak boleh. Memekak lah ko org,0,neutral,2026-06-10T12:37:59+00:00
instagram,,Memandai-mandai. Dia pun MP PN Bersatu yg digantung😂😂,0,neutral,2026-06-10T12:37:19+00:00
instagram,,Keluar laaaaaaaa ape tungguuuuuuu lagiiiiii,0,neutral,2026-06-10T12:32:53+00:00
instagram,,"😂PAS legend, masuk pakatan rakyat, klua, gabung dgn umno muafakat national, klua lagi, dgn bersatu, perikatan national habis jgk, solo je lah PAS, boleh je menang kat klate ganu",0,neutral,2026-06-10T13:23:29+00:00
instagram,,PAS bukannya parti Islam tp parti Iblis yg bertopengkan Islam,0,neutral,2026-06-10T13:18:34+00:00
instagram,,Pru16 tahu la nasib mu.. Silap2.. Hilang diposit,0,neutral,2026-06-11T09:32:19+00:00
instagram,,Bersatu sentiasa dibayangi misteri hamzah tanpa pas,0,neutral,2026-06-11T07:59:00+00:00
instagram,,Hanya boleh Kesian kan aje 😂😂😂😂 nampak mcm dah tak de masa depan 😂😂,0,neutral,2026-06-11T00:36:41+00:00
instagram,,😢,0,neutral,2026-06-11T00:28:16+00:00
instagram,,suka hati hampa nak kata apa.jaguh kampung,0,neutral,2026-06-10T20:55:14+00:00
instagram,,😂😂😂😂😮😮😮😮,0,neutral,2026-06-10T14:49:36+00:00
instagram,,Adannn uke 👏👏,0,neutral,2026-06-10T05:05:51+00:00
